         74905 function calls (74853 primitive calls) in 2.401 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      504    2.038    0.004    2.038    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.092    0.092    0.092    0.092 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.058    0.058    0.058    0.058 {method 'connect' of '_socket.socket' objects}
     6004    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
      736    0.016    0.000    0.079    0.000 parser.py:301(parse_starttag)
       16    0.014    0.001    1.646    0.103 {method 'read' of '_io.BufferedReader' objects}
        1    0.014    0.014    0.014    0.014 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
        2    0.011    0.006    0.132    0.066 parser.py:134(goahead)
      504    0.009    0.000    2.066    0.004 socket.py:575(readinto)
      737    0.007    0.000    0.019    0.000 element.py:989(__init__)
      504    0.006    0.000    2.050    0.004 ssl.py:1041(recv_into)
      736    0.005    0.000    0.029    0.000 __init__.py:606(handle_starttag)
      705    0.005    0.000    0.009    0.000 __init__.py:265(_replace_cdata_list_attribute_values)
      736    0.005    0.000    0.007    0.000 __init__.py:578(_popToTag)
      736    0.005    0.000    0.035    0.000 _htmlparser.py:101(handle_starttag)
     2213    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
      669    0.004    0.000    0.022    0.000 parser.py:386(parse_endtag)
      504    0.004    0.000    2.042    0.004 ssl.py:902(read)
     1605    0.004    0.000    0.010    0.000 __init__.py:468(endData)
     2946    0.004    0.000    0.007    0.000 _markupbase.py:48(updatepos)
     1686    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     1287    0.003    0.000    0.003    0.000 element.py:125(setup)
     3053    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
      458    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
      504    0.003    0.000    0.003    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.003    0.003    0.003    0.003 dammit.py:521(_to_unicode)
        1    0.003    0.003    0.003    0.003 {built-in method _socket.getaddrinfo}
      737    0.002    0.000    0.003    0.000 __init__.py:458(pushTag)
      505    0.002    0.000    0.002    0.000 socket.py:614(readable)
       23    0.002    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
      736    0.002    0.000    0.008    0.000 parser.py:352(check_for_whole_start_tag)
2254/2238    0.002    0.000    0.002    0.000 {built-in method builtins.len}
