         91927 function calls (91832 primitive calls) in 6.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.004    5.004    5.004    5.004 {built-in method time.sleep}
      121    0.840    0.007    0.840    0.007 {built-in method _openssl.SSL_read}
        1    0.095    0.095    0.095    0.095 {method 'connect' of '_socket.socket' objects}
        1    0.061    0.061    0.061    0.061 {built-in method _openssl.SSL_do_handshake}
     6020    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
      736    0.017    0.000    0.083    0.000 parser.py:301(parse_starttag)
        1    0.016    0.016    0.016    0.016 {built-in method _openssl.SSL_CTX_load_verify_locations}
        2    0.011    0.006    0.137    0.069 parser.py:134(goahead)
      737    0.007    0.000    0.021    0.000 element.py:989(__init__)
       20    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      705    0.006    0.000    0.010    0.000 __init__.py:265(_replace_cdata_list_attribute_values)
      736    0.006    0.000    0.031    0.000 __init__.py:606(handle_starttag)
      669    0.005    0.000    0.022    0.000 parser.py:386(parse_endtag)
      736    0.005    0.000    0.037    0.000 _htmlparser.py:101(handle_starttag)
     2224    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
      736    0.004    0.000    0.006    0.000 __init__.py:578(_popToTag)
     2946    0.004    0.000    0.007    0.000 _markupbase.py:48(updatepos)
     1605    0.004    0.000    0.011    0.000 __init__.py:468(endData)
     1688    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
     3053    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     1287    0.003    0.000    0.003    0.000 element.py:125(setup)
      458    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.003    0.003    0.003    0.003 models.py:836(text)
      121    0.003    0.000    0.847    0.007 SSL.py:1813(recv_into)
      248    0.003    0.000    0.011    0.000 core.py:234(check_label)
        1    0.003    0.003    0.003    0.003 {built-in method _socket.getaddrinfo}
     1203    0.003    0.000    0.005    0.000 intranges.py:38(intranges_contain)
      737    0.002    0.000    0.003    0.000 __init__.py:458(pushTag)
      736    0.002    0.000    0.009    0.000 parser.py:352(check_for_whole_start_tag)
     4314    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     2491    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.002    0.002    0.003    0.003 connectionpool.py:455(close)
      387    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x55e6212fa3c0}
     4380    0.002    0.000    0.003    0.000 {built-in method builtins.isinstance}
     1578    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
       21    0.002    0.000    0.008    0.000 response.py:79(decompress)
      736    0.002    0.000    0.002    0.000 __init__.py:448(popTag)
       32    0.002    0.000    0.267    0.008 {method 'read' of '_io.BufferedReader' objects}
      736    0.001    0.000    0.014    0.000 __init__.py:644(handle_endtag)
      123    0.001    0.000    0.002    0.000 SSL.py:1632(_raise_ssl_error)
     3901    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     4494    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1203    0.001    0.000    0.001    0.000 {built-in method _bisect.bisect_left}
      736    0.001    0.000    0.015    0.000 _htmlparser.py:141(handle_endtag)
      248    0.001    0.000    0.002    0.000 core.py:67(check_bidi)
     3843    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      275    0.001    0.000    0.003    0.000 __init__.py:510(object_was_parsed)
   119/87    0.001    0.000    0.310    0.004 {method 'join' of 'bytes' objects}
     1599    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
2635/2627    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      123    0.001    0.000    0.001    0.000 {built-in method _openssl.SSL_get_error}
      121    0.001    0.000    0.849    0.007 socket.py:575(readinto)
      394    0.001    0.000    0.002    0.000 os.py:673(__getitem__)
        2    0.001    0.000    0.005    0.002 request.py:2456(getproxies_environment)
      736    0.001    0.000    0.001    0.000 element.py:1105(is_empty_element)
       42    0.001    0.000    0.003    0.000 re.py:271(_compile)
      121    0.001    0.000    0.001    0.000 {built-in method allocator}
