         92007 function calls (91912 primitive calls) in 1.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      124    0.700    0.006    0.700    0.006 {built-in method _openssl.SSL_read}
        1    0.090    0.090    0.090    0.090 {method 'connect' of '_socket.socket' objects}
        1    0.073    0.073    0.074    0.074 {built-in method _openssl.SSL_do_handshake}
     6021    0.020    0.000    0.020    0.000 {method 'match' of 're.Pattern' objects}
      736    0.017    0.000    0.087    0.000 parser.py:301(parse_starttag)
        1    0.016    0.016    0.016    0.016 {built-in method _openssl.SSL_CTX_load_verify_locations}
        2    0.012    0.006    0.142    0.071 parser.py:134(goahead)
       20    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      737    0.007    0.000    0.024    0.000 element.py:989(__init__)
      705    0.006    0.000    0.011    0.000 __init__.py:265(_replace_cdata_list_attribute_values)
      736    0.006    0.000    0.034    0.000 __init__.py:606(handle_starttag)
     1287    0.005    0.000    0.005    0.000 element.py:125(setup)
      736    0.005    0.000    0.041    0.000 _htmlparser.py:101(handle_starttag)
     2224    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     1605    0.005    0.000    0.011    0.000 __init__.py:468(endData)
      669    0.004    0.000    0.022    0.000 parser.py:386(parse_endtag)
      736    0.004    0.000    0.006    0.000 __init__.py:578(_popToTag)
     2946    0.004    0.000    0.007    0.000 _markupbase.py:48(updatepos)
        1    0.004    0.004    0.004    0.004 connectionpool.py:455(close)
     1688    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
      458    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
     3053    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
      248    0.003    0.000    0.011    0.000 core.py:234(check_label)
      124    0.003    0.000    0.705    0.006 SSL.py:1813(recv_into)
        1    0.003    0.003    0.003    0.003 models.py:836(text)
        1    0.003    0.003    0.003    0.003 {built-in method _socket.getaddrinfo}
      736    0.002    0.000    0.010    0.000 parser.py:352(check_for_whole_start_tag)
     1203    0.002    0.000    0.005    0.000 intranges.py:38(intranges_contain)
      737    0.002    0.000    0.002    0.000 __init__.py:458(pushTag)
     2492    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     4330    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      387    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x55c003d503c0}
     4381    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      736    0.002    0.000    0.014    0.000 __init__.py:644(handle_endtag)
       21    0.001    0.000    0.011    0.001 response.py:79(decompress)
     4497    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     3901    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       32    0.001    0.000    0.291    0.009 {method 'read' of '_io.BufferedReader' objects}
      736    0.001    0.000    0.002    0.000 __init__.py:448(popTag)
     1203    0.001    0.000    0.001    0.000 {built-in method _bisect.bisect_left}
      126    0.001    0.000    0.002    0.000 SSL.py:1632(_raise_ssl_error)
      736    0.001    0.000    0.016    0.000 _htmlparser.py:141(handle_endtag)
       20    0.001    0.000    0.293    0.015 response.py:691(_handle_chunk)
      248    0.001    0.000    0.002    0.000 core.py:67(check_bidi)
     1578    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     3843    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
      275    0.001    0.000    0.003    0.000 __init__.py:510(object_was_parsed)
     1599    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
2640/2632    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      737    0.001    0.000    0.001    0.000 __init__.py:176(can_be_empty_element)
      736    0.001    0.000    0.001    0.000 element.py:1105(is_empty_element)
   119/87    0.001    0.000    0.311    0.004 {method 'join' of 'bytes' objects}
      737    0.001    0.000    0.001    0.000 __init__.py:399(set_up_substitutions)
      275    0.001    0.000    0.003    0.000 element.py:838(__new__)
      124    0.001    0.000    0.706    0.006 pyopenssl.py:311(recv_into)
      124    0.001    0.000    0.707    0.006 socket.py:575(readinto)
      394    0.001    0.000    0.002    0.000 os.py:673(__getitem__)
      248    0.001    0.000    0.013    0.000 core.py:291(ulabel)
      124    0.001    0.000    0.001    0.000 {built-in method allocator}
     1327    0.001    0.000    0.001    0.000 intranges.py:34(_decode_range)
      748    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       76    0.001    0.000    0.015    0.000 core.py:342(encode)
        2    0.001    0.000    0.004    0.002 request.py:2456(getproxies_environment)
      408    0.001    0.000    0.003    0.000 _collections_abc.py:742(__iter__)
      356    0.001    0.000    0.002    0.000 element.py:1950(search)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
     1203    0.001    0.000    0.001    0.000 intranges.py:31(_encode_range)
       57    0.001    0.000    0.001    0.000 __init__.py:538(_linkage_fixer)
     1538    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      770    0.001    0.000    0.002    0.000 {method 'encode' of 'str' objects}
       76    0.001    0.000    0.015    0.000 pyopenssl.py:179(idna_encode)
      736    0.001    0.000    0.001    0.000 _markupbase.py:40(getpos)
      126    0.001    0.000    0.001    0.000 {built-in method _openssl.SSL_get_error}
       19    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        7    0.000    0.000    0.003    0.000 element.py:694(_find_all)
      248    0.000    0.000    0.000    0.000 core.py:134(check_hyphen_ok)
       32    0.000    0.000    0.292    0.009 client.py:594(_safe_read)
        4    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
